code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14013110,PJ,ITS,Industrial Training Seminar,1,UG,R-14,V SEM,0,1,0,0,0,0,0,0
14253201,HS,MEFA,Managerial Economics and Financial Analysis,6,UG,R-14,VI SEM,1,0,3,0,0,30,70,3
14013202,PJ,HE,Highway Engineering,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013203,PJ,DSS,Design of Steel Structures,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013204,PJ,WSWE,Wastewater and Solid Waste Engineering,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013205,PJ,HY,Hydrology,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013206,PJ,CT,Concrete Technology,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013207,PJ,PCD, Prestressed Concrete Design  ,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013208,PJ,CP&M,Construction Planning and Management,1,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14013209,PJ,EEL,Environmental Engineering Lab,1,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14013210,PJ,CTL,Concrete Technology Lab,1,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14014101,PJ,ARCD,Advanced Reinforced Concrete Design,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014102,PJ,TE,Traffic Engineering,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014103,PJ,IHS,Irrigation and Hydraulics Structures,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014104,PJ,QSV,Quantity Surveying and Valuation,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014105,PJ,FE,Foundation Engineering,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014106,PJ,IOT,Introduction to Optimization Techniques                ,1,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14014107,PJ,IDIP, Introduction to Digital Image Processing ,4,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
